psnuuid,currentsnuprioritization
j7R6NW899TU,2 - Scale-Up: Aggressive
p1khrkzyj1C,1 - Scale-Up: Saturation
yyR3ZgRyBzQ,1 - Scale-Up: Saturation
xiz4opVckuD,2 - Scale-Up: Aggressive
eKkUVSMc9VE,2 - Scale-Up: Aggressive
YDiTYO8iXlo,2 - Scale-Up: Aggressive
bigmUwX7nZi,4 - Sustained
MLWfwGSAExm,2 - Scale-Up: Aggressive
Ld3DBzAtu2q,2 - Scale-Up: Aggressive
PbiAN2iuMNC,5 - Centrally Supported
o7vpmMqL7Sf,4 - Sustained
ToudRH4CDr9,5 - Centrally Supported
BXwmiCump7T,4 - Sustained
CEOSxWmPxZF,8 - Not PEPFAR Supported
ltNu9G8IFBM,4 - Sustained
MoS2ZmKSIk3,4 - Sustained
neoAjslMkRL,4 - Sustained
EU2LFjnUoDe,2 - Scale-Up: Aggressive
EIzDG2iU7QA,2 - Scale-Up: Aggressive
uTYaIAY3Rdg,1 - Scale-Up: Saturation
RNOHZDcvD0C,2 - Scale-Up: Aggressive
hmJydtJou7V,5 - Centrally Supported
INU6NqUEjiG,2 - Scale-Up: Aggressive
liTRatgsSjS,1 - Scale-Up: Saturation
DHUg0ISpE9D,[NOT DEFINED]
ho9XZGO2xwb,4 - Sustained
af7g5n3qvRr,[NOT DEFINED]
BRlm2H3PtTw,5 - Centrally Supported
nefXINwu0Lq,1 - Scale-Up: Saturation
KYONoFZCJgv,1 - Scale-Up: Saturation
EH9NQ6mDfGj,5 - Centrally Supported
Hb7N9vIk71A,5 - Centrally Supported
dZqqyXzAgDx,5 - Centrally Supported
NUNNhuEIKSi,1 - Scale-Up: Saturation
DbKN1FBhTpa,2 - Scale-Up: Aggressive
YUe7e0hebL4,1 - Scale-Up: Saturation
yC4ye65DZNI,1 - Scale-Up: Saturation
pu4bDzrPVNO,4 - Sustained
iMaVLYizifi,4 - Sustained
zgdgaDyKL7W,5 - Centrally Supported
BKA8mKOpaX9,4 - Sustained
rLlgwmoLsNZ,2 - Scale-Up: Aggressive
p7M264Wg1qB,4 - Sustained
dv4N89160b6,4 - Sustained
g353MwNv1ST,4 - Sustained
I0NB6gmLUsA,4 - Sustained
w4bclNyjW8p,4 - Sustained
fpBVTbTedSf,4 - Sustained
qrAb13XpOC2,4 - Sustained
PekU6CGZl4z,4 - Sustained
DqggvhYh4iJ,4 - Sustained
m6LBTfgy4N4,4 - Sustained
LH0JbbkkKBP,4 - Sustained
FlBE3mL1gu7,4 - Sustained
IlQNjQ4xhtJ,4 - Sustained
f8yDBoPVWu1,4 - Sustained
ygm0La5inNU,4 - Sustained
XBIWanrEkbP,4 - Sustained
ALVyRcoCEeE,4 - Sustained
LtNhTo6ObDy,4 - Sustained
DbuyCcoGr3o,4 - Sustained
Z5atgpujIuB,4 - Sustained
KF4B3lAghd8,4 - Sustained
fpXkddgSxc2,4 - Sustained
KTBSBPINZ9K,4 - Sustained
FJORitdoOgZ,4 - Sustained
RFu8InHRI0P,4 - Sustained
uU7VK6bHY0b,4 - Sustained
QyiNd4lpoYO,4 - Sustained
KXQgiiDCxNB,4 - Sustained
Hav0LhcZr8l,1 - Scale-Up: Saturation
UEO4kGjgWGz,4 - Sustained
zxPmBggJpRL,4 - Sustained
UcOzBtlIxjs,4 - Sustained
U76V7Aagy0M,4 - Sustained
bTbhVIeXl5B,4 - Sustained
QzoJtRtnwEK,4 - Sustained
uURIdxN44t7,4 - Sustained
OcjOTIIz6PZ,4 - Sustained
yNiTlEQJJOr,2 - Scale-Up: Aggressive
qEnUjTAp97f,4 - Sustained
Aa1whDXzJ2c,1 - Scale-Up: Saturation
R3xzKk95P1a,4 - Sustained
iyBox8IdIwz,4 - Sustained
VrBYQf8rbPc,4 - Sustained
fxkXzAmjGtQ,1 - Scale-Up: Saturation
HqzA0kbnPTT,4 - Sustained
HzF1QcC3jfm,1 - Scale-Up: Saturation
DFMlCbHb8A8,4 - Sustained
WympM6A8Dyz,4 - Sustained
ia5DjoyiJml,4 - Sustained
sgqANA29vHG,4 - Sustained
Z69WtGQ0Urd,6 - Sustained: Commodities
JyswUUSs0Ga,4 - Sustained
cAtDMHGqXDY,4 - Sustained
LnzMu6ek3Y9,4 - Sustained
UjwHpQb8RFM,4 - Sustained
EXvdc4ppwoz,4 - Sustained
GzWt3GqoM7i,4 - Sustained
kKXpnEpWHau,4 - Sustained
zfiun4GPDku,4 - Sustained
NF6SfRY1kto,4 - Sustained
ECHIr3eP4t4,4 - Sustained
DR7pw2aSUwX,4 - Sustained
JyWT5Q3Xqkf,6 - Sustained: Commodities
R1QrxLfGQAu,4 - Sustained
HJYYvGcFd4u,4 - Sustained
DPtWPT96gZF,4 - Sustained
jjP9tmzofKz,6 - Sustained: Commodities
Ci3pNStApME,4 - Sustained
BzVMcmlV7bF,4 - Sustained
S809bXXP7Fv,4 - Sustained
keN9s8FpxDq,4 - Sustained
WLCeQxnQcYa,4 - Sustained
oxcaQN6VXDF,4 - Sustained
R44BnPDW4MP,4 - Sustained
GP2BJihG1v6,4 - Sustained
F5eeDhZQibe,4 - Sustained
DSafrXaCblk,4 - Sustained
ATFOMtmPNUT,4 - Sustained
axJ2Bz7NMBy,4 - Sustained
Rag21iTLDMN,4 - Sustained
dIi3XUCSsXQ,4 - Sustained
xq8JtKyFs3r,4 - Sustained
e340iNYBFKT,6 - Sustained: Commodities
NncixRTUNA8,6 - Sustained: Commodities
h5mI0PnkLy2,4 - Sustained
UPDz1QKEaPi,6 - Sustained: Commodities
a7N7uRgXtvy,6 - Sustained: Commodities
zr3XYkgbfIc,4 - Sustained
qRUSFz9WFB6,4 - Sustained
lUn6tmhyebg,4 - Sustained
OG6fY4TsvRM,4 - Sustained
QBFbFh5zJWX,2 - Scale-Up: Aggressive
i0MUgv6vIAM,4 - Sustained
YbtVeNOCICl,4 - Sustained
PJJsxvEhEW5,4 - Sustained
bU41bAD1r84,2 - Scale-Up: Aggressive
DluyXbyv63Q,7 - Attained
gpgLJrma8Tm,1 - Scale-Up: Saturation
v7xGqiid6Pg,4 - Sustained
ZewNOZ5xMp9,1 - Scale-Up: Saturation
Q2Gb99dokfK,4 - Sustained
PuJqb4zMn4A,4 - Sustained
TaAqWZoyAof,4 - Sustained
nWLwNNNzJ7N,4 - Sustained
L9g3RB3Jqy3,4 - Sustained
Sf0fPuVTEf1,4 - Sustained
RM45QszoeEi,4 - Sustained
eFnaQTWW1DC,1 - Scale-Up: Saturation
cvkiCumu2an,4 - Sustained
apUWJiF9sQ2,2 - Scale-Up: Aggressive
FJ28GRyMVq9,4 - Sustained
B6B6G0suyIH,4 - Sustained
cff8nY3Y9t6,4 - Sustained
IoVUPBw3cBJ,4 - Sustained
nUCOl5r6nTX,4 - Sustained
MdJ6fZJNIWg,4 - Sustained
JvtwguXEkD5,4 - Sustained
GeeiQ1SxW8a,4 - Sustained
qhRYYAbgQVH,4 - Sustained
WQwHVPPsqW2,4 - Sustained
e7J1RT47WsJ,4 - Sustained
NIaJ9yoGyDs,6 - Sustained: Commodities
R40riAkajr9,4 - Sustained
XZLfq0naEiG,4 - Sustained
uUHJXESBL6v,4 - Sustained
proG1Con5sh,4 - Sustained
virmrpkYGXf,6 - Sustained: Commodities
KmN1vtO0Xv3,1 - Scale-Up: Saturation
CXhkcOKexa8,1 - Scale-Up: Saturation
HySQRcghuzV,6 - Sustained: Commodities
GIXuVsi53km,4 - Sustained
dhr29sgXCMz,6 - Sustained: Commodities
QYalSmXneXl,4 - Sustained
Z9MZT1BTsJ5,4 - Sustained
gsS9Cpuu01y,4 - Sustained
pQ5yVgpTBiz,4 - Sustained
ErgzW0NbtKg,4 - Sustained
rtUy9A3YHEU,6 - Sustained: Commodities
rGJKS4OLyqd,4 - Sustained
fSlbRfrxgBX,4 - Sustained
Q7RlCFBv0PT,4 - Sustained
qUFyVUUSqUb,4 - Sustained
pA7KmJWZWi5,4 - Sustained
c8wRDtzO14l,4 - Sustained
yyaZXER8YfR,4 - Sustained
zKZKB0aNzsZ,4 - Sustained
URj9zYi533e,4 - Sustained
bDoKaxNx2Xb,4 - Sustained
ZrkJxE1QhrW,4 - Sustained
oygNEfySnMl,4 - Sustained
tIuMJ7BIDWY,4 - Sustained
UHy5pRsQvje,4 - Sustained
MTm3lyt1uyA,4 - Sustained
vPNckbEJmgJ,4 - Sustained
k8q2pBQgUN8,4 - Sustained
I0BlgP4H1OY,4 - Sustained
DUdIkrprTo5,4 - Sustained
IgQnoCiFkNF,4 - Sustained
LVqMvb9kkzH,4 - Sustained
pQHIzaJsi8t,4 - Sustained
NYHYee8uWfQ,4 - Sustained
lMKXLq9dXVW,4 - Sustained
a661mTq8jD4,4 - Sustained
MgiGNCxuQsJ,4 - Sustained
vB0zMLI52Y0,4 - Sustained
GxvqAACzQY4,4 - Sustained
fYRobXvSy5e,4 - Sustained
Ne0WWZQ8HJ5,6 - Sustained: Commodities
n6VEZ4pTBrX,4 - Sustained
WOZEZlUXOvg,4 - Sustained
qkLeWHFPNM6,6 - Sustained: Commodities
c8v5QxYg2ce,4 - Sustained
bCyBh5BKp0Q,4 - Sustained
l5vfZdLFrQB,4 - Sustained
cgWurQSVEBH,4 - Sustained
w537PeRTb2k,4 - Sustained
Z8NBMmojNEN,4 - Sustained
gaRACh9QB6a,6 - Sustained: Commodities
WCjxJ6kxKRS,4 - Sustained
GBgnruQv8ym,4 - Sustained
FLIkT6NShZE,4 - Sustained
QeuyxdulDDC,4 - Sustained
ZoU6u0WrIM1,4 - Sustained
Ewz6HKTS15C,4 - Sustained
hu1xt1ogF4p,4 - Sustained
j44sQg7jgxN,4 - Sustained
HlABmTwBpu6,4 - Sustained
pLAiWmFjn0V,4 - Sustained
HhCbsjlKoWA,4 - Sustained
H3vPz5cLc8w,4 - Sustained
XSjMKY9mf7k,4 - Sustained
ai7N2iAo0JE,4 - Sustained
WSdmE5ogw0T,4 - Sustained
WihGaIxuEIs,4 - Sustained
fEruEcd3780,4 - Sustained
PWOBEq85BOf,4 - Sustained
ITdnyCiBvz7,4 - Sustained
xu2XtcwkKms,4 - Sustained
Jw8aS21k2oW,4 - Sustained
OY7K8rR5ukn,4 - Sustained
nX918whVxYP,4 - Sustained
uosU9sINAPe,1 - Scale-Up: Saturation
JkmyrqDGshk,1 - Scale-Up: Saturation
V91ICEXLeks,4 - Sustained
qK6jo6jLIav,4 - Sustained
sQbPVIKsxwT,4 - Sustained
hQDiS6TSZdz,4 - Sustained
MMtwgHXDdXV,4 - Sustained
NeOiTtsL5sa,4 - Sustained
VQgRF8xzLJH,4 - Sustained
ar43MQufI9v,4 - Sustained
kbvQ8m0PGSU,4 - Sustained
VFdjWHMxQJ7,4 - Sustained
ipw9D3TRP8p,4 - Sustained
fgDvaz58q64,4 - Sustained
gArfGStpgDM,4 - Sustained
Dz65VTZfbUd,4 - Sustained
QT7WqfzOT7X,4 - Sustained
EyHfmrBzsuk,4 - Sustained
Ymb6umwsISK,4 - Sustained
dzjXm8e1cNs,4 - Sustained
CRvHqQVBlD6,4 - Sustained
laM7jR9mtfj,4 - Sustained
V7JZ4QSddM4,4 - Sustained
JVBsHZWT7pB,4 - Sustained
W0Bnlz2CdRD,4 - Sustained
ZzZelaZBCYJ,4 - Sustained
GEwjVcMYoao,4 - Sustained
vpCKW3gWNhV,4 - Sustained
qNzCWtO8dMh,4 - Sustained
iz3ehfkjBvm,4 - Sustained
eUmxQeRPiBM,4 - Sustained
VTczXNlh45U,4 - Sustained
fIJ193PGC3L,4 - Sustained
k396XseVgOV,4 - Sustained
Hl9Yfii9vCN,4 - Sustained
uTRRg2zhU4D,4 - Sustained
MHK8b5HRHWg,4 - Sustained
jU19ZJn6TI8,4 - Sustained
FHkaaPwowJN,4 - Sustained
GSZ1YWRPxPk,4 - Sustained
mVuyipSx9aU,4 - Sustained
xmRjV3Gx1H6,4 - Sustained
lx2r0T1GnaQ,4 - Sustained
ZpjKf61i2Uc,4 - Sustained
obbfFvgh8Um,4 - Sustained
WlY47shYnnr,4 - Sustained
wrEDuANgaVk,4 - Sustained
vPxA5Pt1JGZ,4 - Sustained
sW1EiA2DlI3,4 - Sustained
WvxEjK4hxfo,4 - Sustained
f0TB3r61i5b,4 - Sustained
aChfL7S45l8,4 - Sustained
z7cRKbwx8L7,4 - Sustained
A279VIsHpTI,4 - Sustained
t4pYfQ9Skx4,4 - Sustained
dlxwQg99WoE,4 - Sustained
pad3e5xOCdP,4 - Sustained
uFaSs80gLIx,4 - Sustained
vufh9kqDnPj,4 - Sustained
ILwIROK4TTR,4 - Sustained
U42lUlqw14s,4 - Sustained
QaeAxjVVGmA,4 - Sustained
Bc82bF99cN1,4 - Sustained
ahLDLd3w2Xt,4 - Sustained
Vpd9OutI5QE,4 - Sustained
tkNy2sER8xX,4 - Sustained
fk5t7pAg7Cm,4 - Sustained
k2dAp9r2mRa,4 - Sustained
tXeGc4P4bXe,4 - Sustained
xgIRJYISVOB,4 - Sustained
oPl04jv6omI,4 - Sustained
n81KW6HQJ9Q,4 - Sustained
igUyFcgaVHP,4 - Sustained
sWKNZPZj231,4 - Sustained
LRJl5ilFu2M,4 - Sustained
bKXKmhOnPpK,4 - Sustained
LQ07jvCf7L7,4 - Sustained
Ndb1V96smxI,4 - Sustained
i39m25bqb6I,4 - Sustained
qJxw5bx87ef,6 - Sustained: Commodities
QuSjorQMTIB,6 - Sustained: Commodities
bFp5n4wtPuS,4 - Sustained
WdewJdiYf0U,4 - Sustained
pK6V4j3qOzW,4 - Sustained
M7JgWP2RFy2,4 - Sustained
sD1YPwvBkpv,4 - Sustained
npR1mmZD3MR,4 - Sustained
pdPUuTMC9Y9,4 - Sustained
I2rGvpGOy25,4 - Sustained
IkjqwHIYoJZ,4 - Sustained
RMEbH3T3o0l,6 - Sustained: Commodities
u813QHCYeuq,4 - Sustained
cH8gyiz4Kyy,4 - Sustained
gXzbTBd3j3Y,6 - Sustained: Commodities
PEMshgXYnEs,4 - Sustained
bEYcwtSvhR6,4 - Sustained
zsRdNJpmNeE,4 - Sustained
ULLI5OowYdm,4 - Sustained
vDDwD4zbB1o,4 - Sustained
uYJi1Sc1OlZ,4 - Sustained
rHIUe15ZV19,6 - Sustained: Commodities
WeHFx8CmMqV,4 - Sustained
XDgdj9Pdsiq,4 - Sustained
BZ0DpSTBjIr,4 - Sustained
M6afPJHQb72,6 - Sustained: Commodities
bhS2NNwWzkb,4 - Sustained
Zelc7Ij8pQq,4 - Sustained
yY15GJ9MSfL,4 - Sustained
FNMrAWtZWQ4,4 - Sustained
g0DDonzdUA9,4 - Sustained
XyOr2mBaTzz,4 - Sustained
GoyPAqsi8hE,4 - Sustained
R81UH1R1lTl,4 - Sustained
O4lKV4nabSL,4 - Sustained
WK5gDvZgOD6,4 - Sustained
xJy5KJJn8gz,4 - Sustained
logPshzwZGg,4 - Sustained
merMznnVwIA,4 - Sustained
OQ5fZjjCoDR,4 - Sustained
cNr80ZanaDp,4 - Sustained
xwBUYtnRhqv,4 - Sustained
spxEj5Dlg70,4 - Sustained
JdodeJT1030,4 - Sustained
LRXpCvMxrYU,4 - Sustained
XKv4TrYPA47,4 - Sustained
D4zacvYxq0b,4 - Sustained
MvoR4rmtllj,4 - Sustained
ROj1N52eCYd,4 - Sustained
WKSMZvuda1v,4 - Sustained
Re4VU7MrOUM,4 - Sustained
deDUnu6PVkl,4 - Sustained
wYSTfYinFO7,4 - Sustained
VrDETBStvFP,4 - Sustained
FxENiNIpifl,4 - Sustained
L589JlvsLup,4 - Sustained
IhUKbniSTiQ,4 - Sustained
BxzOTRISQFy,4 - Sustained
syjevgeVeYf,4 - Sustained
DZdOPZ0KKX8,4 - Sustained
OycwDoCnlAB,1 - Scale-Up: Saturation
tkA4PRXk0W7,2 - Scale-Up: Aggressive
AUIjfqeZEFH,2 - Scale-Up: Aggressive
HOJVVYgS5vV,4 - Sustained
dAeoz9ttxAz,1 - Scale-Up: Saturation
KVW9Io1khx7,4 - Sustained
VHITI10xoZc,4 - Sustained
ISi4PDO97U5,4 - Sustained
sSg7pUov51f,2 - Scale-Up: Aggressive
u8skYaLV6QF,2 - Scale-Up: Aggressive
HjGwmHbL0Y4,4 - Sustained
fQ6LC2LWI8S,4 - Sustained
ZpDPMnrCgAN,4 - Sustained
ghorQdinizS,4 - Sustained
DvkBcDk4DRQ,2 - Scale-Up: Aggressive
uzCT1lOZhL5,4 - Sustained
b1Z9Yv3VcVr,6 - Sustained: Commodities
lJkmYJB9kHr,4 - Sustained
MxHHoeHUJ4J,4 - Sustained
wHyFh9VVK2m,2 - Scale-Up: Aggressive
tKAh5zuMYhT,4 - Sustained
K17UuwVu7Jf,4 - Sustained
tGdZvabgJw6,2 - Scale-Up: Aggressive
EusV10zkN3t,2 - Scale-Up: Aggressive
IbcfQbdZNdC,4 - Sustained
gZ8SPQ2CKQG,4 - Sustained
JBqBHvcmICE,4 - Sustained
TMbbzVpDDad,2 - Scale-Up: Aggressive
PM4sFTtfJQa,2 - Scale-Up: Aggressive
MZ2jaWNX1Oq,4 - Sustained
ljMQwl1DOCb,7 - Attained
rQBtRTixEgZ,4 - Sustained
ldTia6dCApK,4 - Sustained
Hv2MoShsZw0,4 - Sustained
bT2GvywtrWr,4 - Sustained
n1p57xvZS27,4 - Sustained
rWxhYYc4CUd,4 - Sustained
zDW6C2cJ9zt,4 - Sustained
JBG1Q6nxI90,4 - Sustained
nuDn0S9i6sk,4 - Sustained
UpkhGdjtFUs,4 - Sustained
JP7S5oKBlf2,4 - Sustained
kuQXJAjDaCJ,4 - Sustained
KeCUS5x3EgL,4 - Sustained
YRqSIEu2EBe,4 - Sustained
NhVur1uOseT,4 - Sustained
HTynaak9XDD,4 - Sustained
Fq5ztsHKN20,4 - Sustained
GMnfyPIKHxo,4 - Sustained
SbFrewIebN4,4 - Sustained
c4BzVjGvVi8,4 - Sustained
M7plide67qX,4 - Sustained
WJ7Ba8U4Yoq,4 - Sustained
xqcqxtydENu,4 - Sustained
ac13I392HZi,4 - Sustained
DGsvApy6NF9,4 - Sustained
ZF2mGWrqp1t,4 - Sustained
Ln5bTDtGDif,4 - Sustained
pYomDDNQ6hO,4 - Sustained
kAWl47kmoyv,4 - Sustained
D6rivmJFt33,4 - Sustained
cx0xFi6L7Fp,4 - Sustained
XY5wcfahN5W,4 - Sustained
ewh51nY512W,4 - Sustained
PJ710HPntzX,4 - Sustained
LM0SzUjIbAE,4 - Sustained
oV6tlXANpkd,6 - Sustained: Commodities
FpADQG6JcC5,4 - Sustained
O65wXRg0Ic3,4 - Sustained
AZsdgJCaQWl,6 - Sustained: Commodities
dZRlykTqZhw,4 - Sustained
cealFXAKL2I,6 - Sustained: Commodities
GAGxDMx8uvm,4 - Sustained
WLQLVZAd77i,4 - Sustained
yQa2xS9x96u,4 - Sustained
PWfDHBvn1hw,4 - Sustained
tr5rm0vaxGG,4 - Sustained
OqZ11xWhJlB,4 - Sustained
k9ilIScUQLb,4 - Sustained
dxMNL5PwvQa,4 - Sustained
AIWlVFpaxFZ,4 - Sustained
rhg7o351Ogx,4 - Sustained
VWzOuFbOVsE,4 - Sustained
wLldH8OpVNF,4 - Sustained
IlkoZAYAoQs,4 - Sustained
vpR6qB6b19O,4 - Sustained
vmUxBIASp0I,4 - Sustained
dxrlspj18NY,4 - Sustained
zvDjtdkAuTP,4 - Sustained
iydYKfCH5Cl,4 - Sustained
dFj2ILZVfUi,4 - Sustained
iZCbzoOssS4,4 - Sustained
CtGoE7JQAiX,4 - Sustained
KCu09ZdJTEL,4 - Sustained
AZ20YeJChyC,4 - Sustained
GOOy2mVNRd1,4 - Sustained
QiWl2gmww69,4 - Sustained
fV2Ogk0TO7p,4 - Sustained
ZA3JkbqwvuA,4 - Sustained
Kcr5bLQVHEd,4 - Sustained
bRYPnMBCWrq,4 - Sustained
XXgCDEMk4Ha,4 - Sustained
sjFUh2vg03X,4 - Sustained
ELWNSBUCfD3,4 - Sustained
p7y3haZd6OO,4 - Sustained
yNLdrMwLReu,4 - Sustained
p3M4FdE8RkC,4 - Sustained
rWgqvOVxhQN,4 - Sustained
SMv1QuqswmC,4 - Sustained
WZhoAUn8Opk,4 - Sustained
oJiN1pog19z,4 - Sustained
RBnV0s4V6wj,4 - Sustained
YMlSzHMFp3b,4 - Sustained
UTmAHL0WmBn,4 - Sustained
leA9yz8ggzz,4 - Sustained
vO4O9o8Y2Be,4 - Sustained
gevUQQwMYsl,4 - Sustained
fRmH1IcpdA7,4 - Sustained
D1XE609n41l,4 - Sustained
txdQuyYCpbb,4 - Sustained
Kxb2aLH6aQE,4 - Sustained
zBpF1qbeHxk,4 - Sustained
KW1MmI5AJ5C,4 - Sustained
h4GiCPKLpaj,4 - Sustained
giwECr4xdr7,4 - Sustained
ol9Cy7ZHtmM,4 - Sustained
vnYPxzWEwMO,4 - Sustained
DU7QFC4eurr,4 - Sustained
VsRXIP925Kr,4 - Sustained
iWTaRRoO3JH,4 - Sustained
FaxOzvxNTmQ,4 - Sustained
xcD0RUmcq3U,4 - Sustained
E7AUIdZIUma,4 - Sustained
ObllIYWxwRA,4 - Sustained
GBwKRrWGuVY,4 - Sustained
Nd9sbZcqorj,4 - Sustained
pp8zV2OXmvU,4 - Sustained
SExBRzuDiYb,4 - Sustained
kyuGgrpjwZF,4 - Sustained
O9l6BemolrN,4 - Sustained
UdnUbXV7O9o,2 - Scale-Up: Aggressive
UGwCX5IBQQj,4 - Sustained
y5pPli7WP1V,4 - Sustained
N0dXOBSVO7k,4 - Sustained
SL33bchlaKT,4 - Sustained
sZumF7t54ek,4 - Sustained
QUXP7f16K3Z,1 - Scale-Up: Saturation
xZFseUogJWo,4 - Sustained
wXnjvr9p2zU,6 - Sustained: Commodities
nNo5gV3to2B,4 - Sustained
I0tQo5iW5NZ,4 - Sustained
y3iWYd0poWG,7 - Attained
tFy20OB0Wyw,4 - Sustained
JAbWcsjaThI,4 - Sustained
EFiZIMdk7CK,4 - Sustained
QW6ipnJ667p,4 - Sustained
Ot1rO9XQIUx,4 - Sustained
hBETnzuLuGS,4 - Sustained
c4XamXWAJm5,4 - Sustained
wwWXkcdr5x5,4 - Sustained
N0H1zZzTWGq,4 - Sustained
loFfnXvTMpH,4 - Sustained
NiS8nFDiIJ6,4 - Sustained
nLtWhDsKEsm,4 - Sustained
FLrj0Vb8jh2,4 - Sustained
fhHfL7tA9l8,4 - Sustained
sUHLkFR6mEd,4 - Sustained
nw2xsoZj1Qf,4 - Sustained
wXVrXNmb0Gl,4 - Sustained
R83C21BuCL5,4 - Sustained
EcW5sxrn7Kx,4 - Sustained
rZBbOn6W1wi,4 - Sustained
tO5pER5YEmw,4 - Sustained
AKMBCyOdsMJ,4 - Sustained
t07Wu4dK2Se,4 - Sustained
rktJXq6SLZh,4 - Sustained
UZY7KMPCrJM,2 - Scale-Up: Aggressive
VZPe5oVGVWf,2 - Scale-Up: Aggressive
Hf5RNaLp5Rc,2 - Scale-Up: Aggressive
NXV5m5fAdaP,2 - Scale-Up: Aggressive
L59auomWK9a,5 - Centrally Supported
Pq71pfCpkex,5 - Centrally Supported
us2FGzlnk8l,2 - Scale-Up: Aggressive
NNQWafT8kCV,5 - Centrally Supported
AXM3xqXyh0j,5 - Centrally Supported
ymcLoFo1XOp,2 - Scale-Up: Aggressive
Ju4V7SZ8jJp,5 - Centrally Supported
BY6kspbkJW9,2 - Scale-Up: Aggressive
y0iYP9PzR3F,5 - Centrally Supported
Q7sR8Vato1j,1 - Scale-Up: Saturation
jP6YHtU87iQ,2 - Scale-Up: Aggressive
PfyEcru7EUk,1 - Scale-Up: Saturation
ac7dqG6khLK,2 - Scale-Up: Aggressive
cCDFkhO0ITL,5 - Centrally Supported
RW6UI8zTazb,5 - Centrally Supported
DoPAA70ylOJ,1 - Scale-Up: Saturation
rGkz0zhJLfr,2 - Scale-Up: Aggressive
ri7dSGxwDav,5 - Centrally Supported
dydqYNPbwDc,2 - Scale-Up: Aggressive
D9dGCrs8rkJ,2 - Scale-Up: Aggressive
kOGT3ksxeSh,1 - Scale-Up: Saturation
vQsUkgj7fuA,5 - Centrally Supported
U8IafTP7w7L,5 - Centrally Supported
xhBacuWMJPS,2 - Scale-Up: Aggressive
DjW2vEv4mf2,2 - Scale-Up: Aggressive
zPlOd5VH1r4,2 - Scale-Up: Aggressive
Ox9AGEiwXhL,2 - Scale-Up: Aggressive
ZnpFreAC44z,5 - Centrally Supported
BFHI8ktsvQ1,5 - Centrally Supported
RzshrAPG7FJ,5 - Centrally Supported
pqFvbVz4qqH,2 - Scale-Up: Aggressive
bbqQmjUlRME,2 - Scale-Up: Aggressive
BFWGUrkBvfy,2 - Scale-Up: Aggressive
BoIxivHASNY,5 - Centrally Supported
T7tgoZWsBNI,5 - Centrally Supported
rTOv2mSieIJ,5 - Centrally Supported
wJfJepN9E40,5 - Centrally Supported
b5i77fVnsOC,5 - Centrally Supported
yPMAadGMkkj,2 - Scale-Up: Aggressive
HKcwDYQDbB5,2 - Scale-Up: Aggressive
Pv8QkwEnhlu,5 - Centrally Supported
QwqeXGLpLfi,2 - Scale-Up: Aggressive
abEAqJ2swgH,5 - Centrally Supported
jPDTEACJNYQ,5 - Centrally Supported
ROKgB9sl4NS,2 - Scale-Up: Aggressive
IOb5dQ3OH9g,5 - Centrally Supported
CmLJdTTkdeN,5 - Centrally Supported
tYc1vr3hkQT,5 - Centrally Supported
LkPG7laQW7D,2 - Scale-Up: Aggressive
CSkFLNHPX4y,4 - Sustained
inoumocfPzI,8 - Not PEPFAR Supported
KoIhkstxZvm,4 - Sustained
AlOhkfswoxd,2 - Scale-Up: Aggressive
P4PW99wpsn1,4 - Sustained
h4zbL6Xn2Hv,5 - Centrally Supported
bQt6U1hAycX,5 - Centrally Supported
QDSfxRXtbr1,5 - Centrally Supported
ajEbxwHWO67,2 - Scale-Up: Aggressive
gnFRCSeNZWd,4 - Sustained
tgHdEExgYbV,4 - Sustained
WBcewaQuWIK,4 - Sustained
irNiBftx83p,4 - Sustained
Imiv5NhvFyj,2 - Scale-Up: Aggressive
j65zifK0OX3,4 - Sustained
TSKONml3tdl,2 - Scale-Up: Aggressive
qYzGABaWyCf,1 - Scale-Up: Saturation
nxGb6sd7p7D,1 - Scale-Up: Saturation
Z3IDOaDDkwG,1 - Scale-Up: Saturation
qRppsyyTP4A,1 - Scale-Up: Saturation
kUikmXEZjNy,1 - Scale-Up: Saturation
QL3f2eyizTy,2 - Scale-Up: Aggressive
yrL0bXyNGUC,4 - Sustained
trEZDtd0yG0,4 - Sustained
IvFsAvEMGoN,2 - Scale-Up: Aggressive
GWyu5TpbqZR,4 - Sustained
j2oJq5cmseg,4 - Sustained
X084f2qVlrB,1 - Scale-Up: Saturation
YyHBXHmKukB,1 - Scale-Up: Saturation
rtBnaP4CaLe,1 - Scale-Up: Saturation
dgdbOACMjkJ,4 - Sustained
YLCO37nNRDr,4 - Sustained
y9AY8FOTj8O,4 - Sustained
shxU5hXKkXr,1 - Scale-Up: Saturation
KkMgLgvtuAa,4 - Sustained
yz3UtyuzHdF,4 - Sustained
A3x7TQqItNX,4 - Sustained
d7jaGpSxsaJ,1 - Scale-Up: Saturation
xxx5e0BohYI,2 - Scale-Up: Aggressive
bVUktvRBkSC,1 - Scale-Up: Saturation
uvOa3vSlS16,4 - Sustained
ocNRp1wzSHa,4 - Sustained
BtMJFR0nUrB,4 - Sustained
SxuWL8y7s0h,2 - Scale-Up: Aggressive
uHbIOtn8uNS,1 - Scale-Up: Saturation
HeFt4nH6lFL,2 - Scale-Up: Aggressive
cdSO66LSlGQ,4 - Sustained
AaejvOngJzv,1 - Scale-Up: Saturation
xOVDj8J5PoB,4 - Sustained
imTE2HfVCB6,2 - Scale-Up: Aggressive
