operatingunit,psnu,psnuuid,fy17snuprioritization,cluster_psnu,cluster_snu1,cluster_psnuuid,cluster_fy17snuprioritization,cluster_set,cluster_submitter,cluster_date
Uganda,Katakwi District,AUY4rGf5rCC,2 - Scale-Up: Aggressive,Soroti Cluster,[Clustered],yCVI5WlzkF0,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Lira District,sVmb2FInHpI,1 - Scale-Up: Saturation,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Kole District,sOvyWDakEpr,2 - Scale-Up: Aggressive,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Otuke District,bliiq8a0ZMa,4 - Sustained,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Alebtong District,D6upnSGqMuH,4 - Sustained,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Dokolo District,G7b1qt8AWXX,1 - Scale-Up: Saturation,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Amolatar District,goAaVw5euIo,4 - Sustained,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Uganda,Apac District,HDDanYisp0p,2 - Scale-Up: Aggressive,Lira Cluster,[Clustered],sVmb2FInHpI,[NOT DEFINED],1,N.Solehdin,1/23/2017
Tanzania,Arusha CC,kUikmXEZjNy,1 - Scale-Up: Saturation,Arusha-Meru_Monduli Cluster,[Clustered],kUikmXEZjNy,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Arusha DC,QL3f2eyizTy,2 - Scale-Up: Aggressive,Arusha-Meru_Monduli Cluster,[Clustered],kUikmXEZjNy,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Meru DC,IvFsAvEMGoN,2 - Scale-Up: Aggressive,Arusha-Meru_Monduli Cluster,[Clustered],kUikmXEZjNy,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Monduli DC,GWyu5TpbqZR,4 - Sustained,Arusha-Meru_Monduli Cluster,[Clustered],kUikmXEZjNy,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Bagamoyo DC,mKdOqXYiqyN,2 - Scale-Up: Aggressive,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Ilala MC,X084f2qVlrB,1 - Scale-Up: Saturation,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Kibaha DC,nFummeSIBwK,4 - Sustained,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Kibaha TC,v4aut8CAD4C,1 - Scale-Up: Saturation,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Kinondoni MC,YyHBXHmKukB,1 - Scale-Up: Saturation,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Kisarawe DC,orLfqj8fpz8,4 - Sustained,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mkuranga DC,vDynT512Lhs,2 - Scale-Up: Aggressive,Dar es Salaam-Bagamoyo-Kisarawe-Kibaha-Mkuranga Cluster,[Clustered],mKdOqXYiqyN,[NOT DEFINED],1,N.Solehdin,1/17/2017
